site_id,refYear,latitude,longitude,Lonsdorf_big,Lonsdorf_small
ES1ACH01,2022,37.25022,-6.74492,0.14329194383610985,0.19336478736055354
ES1ALM01,2022,37.22261,-6.49975,0.17123927678950468,0.23305000811556326
ES1AZD01,2022,37.25774,-6.20492,0.3187722616320446,0.37951676591884487
ES1AZN01,2022,37.23483,-6.16897,0.2813691260496081,0.34897076493093093
ES1BON01,2022,37.331111,-6.667778,0.06155540186479771,0.09036082047529465
ES1CAI01,2022,37.3,-6.689722,0.13811472055905186,0.19935715857967518
ES1CAM01,2022,37.27652,-6.22105,0.2553642926317673,0.33949773142665
ES1CON01,2022,37.29183,-6.75247,0.10937829158198158,0.12483966490724467
ES1CRU01,2022,37.33639,-6.48321,0.2630052885659328,0.34770550064400746
ES1CUN01,2022,37.23293,-6.55494,0.18468060167912398,0.14260596897423652
ES1CUT01,2022,37.34943,-6.50578,0.15924282948699603,0.21309900358623698
ES1DEH01,2022,37.35591,-6.60393,0.06952664463178335,0.09631276783561678
ES1DUN01,2022,37.36809,-6.54945,0.05420761339164353,0.11282757445441995
ES1ECO01,2022,37.30863,-6.46184,0.2308101135589864,0.18032380160892944
ES1ENT01,2022,37.18759,-6.49773,0.12314008469018431,0.1554881164932467
ES1ESP01,2022,37.28172,-6.55538,0.09052095281689301,0.09059062422987416
ES1HER01,2022,37.277778,-6.600278,0.0796209857441661,0.06691787155615843
ES1HIN01,2022,37.28925,-6.43359,0.3038565000685784,0.3342486720223427
ES1MAJ01,2022,37.22494,-6.19798,0.26473388845818036,0.3114471470206229
ES1MEI01,2022,37.24388,-6.60103,0.13765037985633055,0.1343405464759493
ES1MIA01,2022,37.305556,-6.6125,0.06161673768518113,0.04201011156279821
ES1PER01,2022,37.28306,-6.38197,0.17417505058322647,0.14757092164759772
ES1PIN01,2022,37.19594,-6.76125,0.20694894867691466,0.17624131182496772
ES1POI01,2022,37.234167,-6.383889,0.263051166923035,0.27568132568122605
ES1POZ01,2022,37.24921,-6.66097,0.30164669290169316,0.3535865775056758
ES1ROC01,2022,37.12381,-6.50691,0.17218409087160846,0.2376554185640567
ES1TOR01,2022,37.24988,-6.23855,0.2395538919043387,0.2633156542370365
ES1URB01,2022,37.28806,-6.67508,0.15997216382389282,0.1036128985526672
ES1VIE01,2022,37.23926,-6.2808,0.1794183476855507,0.27281321507069667
ES1VIS01,2022,37.2167,-6.30381,0.13922623282615879,0.21207675185531616
AC,2023,37.604103,-5.8702192,0.1017719921460584,0.07047420171325945
AHQ,2023,37.4348103,-5.9442168,0.03820837447702451,0.060759307177390726
AT,2023,37.5836922,-5.9345506,0.0778744577958741,0.09848120285764751
PPE,2023,37.5481628,-5.9094094,0.09719914624543545,0.16778177125675683
PQ,2023,37.4235617,-6.0163071,0.035586156379671455,0.06884429956709516
PSJ,2023,37.488445,-5.9475667,0.06820846229637038,0.07308245449265073
RCB,2023,37.5240052,-5.8818075,0.05001484159967787,0.11635115508490375
RCV,2023,37.488073,-5.8837766,0.046762194957412205,0.036986128358466173
RJ1,2023,37.476992,-5.9211163000000004,0.044518704474369314,0.0703007548191571
RJ16,2023,37.4701785,-5.9172,0.03724785297122672,0.06742382690417585
RJ2,2023,37.4719691,-5.901102,0.04367175334419983,0.06546664093245831
RMI,2023,37.7099967,-5.9349672,0.1897656190927475,0.16056970724956868
RMO,2023,37.699565,-5.8639758,0.18439128364812338,0.14999333341659432
SSH,2023,37.6708586,-5.497438,0.05935130844696515,0.04041819412568231
SSM,2023,37.6163601,-5.6561561,0.09594085966863465,0.11295069487855401
SSS,2023,37.6784449,-5.447756,0.07157856918627667,0.06601943578359144
Casilla_Aranda,2020,37.624877,-4.518691,0.14800721346009663,0.156779482293904
Casona,2020,37.74612,-3.62784,0.23838545256857258,0.2263571003643967
Cortijo_Guadiana_extensivo,2020,37.897958,-3.209407,0.14432650621418325,0.1687847684029445
David_Lantejuela,2020,37.353015,-5.298202,0.0702721951474425,0.09077262771052583
La_Luna,2020,38.185758,-4.750848,0.17065136492067243,0.16047822544040982
Monva,2020,37.87143,-3.588215,0.16616605244663635,0.1763744005072946
Moraleda,2020,37.181332,-3.975632,0.11022481045294139,0.07433053004280239
Peña_del_Gallo,2020,36.994083,-5.470297,0.10314562365133634,0.10143857015871627
Piedras_Cucas,2020,37.768521,-4.102191,0.1452428019235298,0.12860113676713888
Tobazo,2020,37.555699,-4.041627,0.17964605888913188,0.16071806128766808
Toquillas,2020,37.558716,-4.403826,0.1654643592065824,0.1665357876399905
Torres_de_Albanchez,2020,38.400195,-2.652453,0.2246389657635195,0.1971512998132443
Buenas_noches,2021,36.3896336254593,-5.58834510073453,0.31161378759478964,0.32338879308925067
Fates,2021,36.12025,-5.669833,0.3382044571001899,0.3868222346730786
Marrufo,2021,36.573917,-5.536583,0.3093854443258649,0.3224364940329401
Montecoche,2021,36.2775290209507,-5.54787121675272,0.326511433120857,0.34345541509049704
Montero,2021,36.47675,-5.600111,0.32643553600221525,0.343990131538113
M_a1,2020,36.8411111,-2.12935,0.2064983075161441,0.15045041119187502
M_a2,2020,36.8413889,-2.128611111,0.20814807374730487,0.1620863697347619
M_a3,2020,36.8425,-2.1275,0.2083913892555796,0.17608106746689267
M_a4,2020,36.84374167,-2.12459722,0.21244248039291622,0.21998709686396745
S_a1,2020,36.84671944,-2.15596111,0.13190759549059144,0.08533543681268045
S_a2,2020,36.84698889,-2.15552222,0.13306771181300062,0.08755142831763234
S_a3,2020,36.84811111,-2.15476944,0.13985522166389133,0.10517474476550669
S_a4,2020,36.85024722,-2.15315,0.15208279187365467,0.15284529376232353
A_b,2020,36.96067778,-1.99682778,0.36032690718622623,0.39951598511790426
A_c,2020,36.948055600000004,-1.952222222,0.3099337576135176,0.35188122733491317
B_a1,2020,36.9988889,-2.051197222,0.23705531598692856,0.26400537971055216
B_a2,2020,36.9988889,-2.050483333,0.2359475919521595,0.262982419225989
B_a3,2020,36.9988889,-2.049244444,0.2384560582602689,0.2658513809318367
B_a4,2020,37.0002778,-2.046141667,0.24875967813926605,0.324739413900721
C_b,2020,36.99322778,-2.09266389,0.25972715353050807,0.3094726741234393
E_a1,2020,36.9733333,-2.124508333,0.14278049447086585,0.05981781291951611
E_a2,2020,36.97420278,-2.12474444,0.15001080469209663,0.06744578396128247
